JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Auditor / COO Customer Remediation (Consumer & Small Business Banking and Consumer Lending),Wells Fargo Bank,"Charlotte, NC",3 days ago,2020-09-03,Experience at a financial institution or accounting firm. Identifies and assesses key risks and controls and develops effective test plans for engagements as…,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-QYXBcdyEr9NfizzB_qIGqzFBtZbzQ0wZNEBWfpfDWAFOHHj036Vt2ckNYH3I8QqWLV9U5Tu_4GeNVtxcf2lQF_qSCbTDWbZZsUq5f9cEO-AasMniidVq3l-HsIFs2Tef3he_q7zrjJ-m7uiB0RAqnmIBtu9MOuOTY3hQZNG9CGtftnBNrIQgW5qtGNQi4I63j3idZBJmv_iMZZShKQvAdWaITwOxwQPPTtaWHl8G3OGcP1ONdenfio4xgh1Bb8Vwjl_yStY5Sw4lkiaT3B6YVqIrEyj4EIPVxAkHJ7VvOK3p7zOVMGnegqIitZWUfCcpLJSHgwFAwSNUMeyJobrPrWKHBe7MFb_nibfvqFqDJQxi_d0U3l7G-p7Z2E8Hji5oj0b6hFH5Z9J2LuyXwuaN&p=4&fvj=0&vjs=3
Senior Tax Manager,Resume Beach,"Waxhaw, NC",Today,2020-09-03,"Ability to use current technology and tolls to enhance the effectiveness of deliverables and service. Accumulate, analyze, and process financial accounting data…",,https://www.indeed.com/company/Resume-Beach/jobs/Senior-Tax-Manager-d31e07c02eb99a41?fccid=37833caac19bdad3&vjs=3
Senior Property Tax Accountant,AccruePartners,"Fort Mill, SC",30+ days ago,2020-09-03,"Timely process property tax payments to ensure the lowest possible tax liability. Prepare, administer and successfully close property tax audits, appeals.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrBcdxsei2CZ_BepswCRvfMFOQY96vjtBxFWzNkVgG1hNwq6yIu5m3tuShCjD_-Ydo7JnCGGWMCF_cg82EGV9rXE86M0J67vMVxUKeHlOD5ocV84hn8ypylK_eG9sGMjOkKZL6If8lgKJm9TUw100HJTfQ0B2cue-7s3HWe7o2L0ym9Qk1lRBoPOw1GCOqcejJdI74bNw9ILIh2qFOArq9KALm5k0rj1lS4kiJxLE7qQjlE5Y2ixNOM85U1vzhtzxAvW-DdSnGBEW-EcKrSQbWwdjZU8eWc7pYG55XS8OiMQRsjO-U9IOp95iqVbgl9yQPMVflxk5j6wcDjjsgJ1dyDl16LtL5v-0nrYwjXeMb2ZVsqr3q7gXYT8jd7irxZmrWceNLX2InQfIPYJI2sXzPrgsTjOLop3vKB1J2en074fIiOmb7Y0r7bq6sHcRwUBxqA=&p=6&fvj=0&vjs=3
Senior Audit Consultant,Trane Technologies,"Davidson, NC",28 days ago,2020-09-03,"A Senior Audit Consultant will lead teams of 3-5 people and is responsible for audit planning, supervision of Audit Consultants, testing procedures and audit…",,https://www.indeed.com/rc/clk?jk=1b8503fece0dbe8e&fccid=64739a8388b4fcb0&vjs=3
Audit Senior Associate,RSM US LLP,"Charlotte, NC",30+ days ago,2020-09-03,"3 years of current or recent experience in a public accounting environment, auditing financial statements. Supervise Audit Associates on engagement teams and…",,https://www.indeed.com/rc/clk?jk=7fb0c6931be8dd0d&fccid=198b7374e1f8a26f&vjs=3
Sr Tax Analyst,Honeywell,"Charlotte, NC",8 days ago,2020-09-03,"The Senior Tax Analyst / Accountant, coming from a Big 4 firm will provide support for tax compliance, reporting, and will assist with tax examinations by…",,https://www.indeed.com/rc/clk?jk=aa8434558b5a061c&fccid=50208b5bf45ee3b8&vjs=3
Senior Assurance Associate,"GreerWalker, LLP","Charlotte, NC",30+ days ago,2020-09-03,Minimum of three years of experience as a staff accountant. Technical knowledge sufficient to supervise staff accountant as well as review their work.,,https://www.indeed.com/rc/clk?jk=2f08287981010dc9&fccid=3c9696c129c591c6&vjs=3
Senior Audit Manager - Operational Risk,Truist Financial,"Charlotte, NC",4 days ago,2020-09-03,"H. addressing material issues with senior management. B. planning, scoping and developing the audit test plan, organizing and using resources effectively to…",,https://www.indeed.com/rc/clk?jk=9357d272af7dbc09&fccid=035229327af06091&vjs=3
Senior Tax Accountant,Therapy Brands,United States,13 days ago,2020-09-03,"Coordinate review of prepared tax work with outside tax firm. Responsible for preparation of Company federal and state income tax returns and K-1 package,…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWzmAA4D_WVD5cyOYH3nJamrzsUZoGan403fICSzEd_OHCQcvwEGEMV0Ub-yLEBu1uwIwh5DHReT_ayH59-yKPVZsqQzGmubxNgKA9rcdpZFASrw9C8ggHKVTNze0qO58xtbUhjrErqdvRmFhZNyjsXXnPAwOu8v7u9ARZB-6M02GCcx0yImX9Wg1OfLElaKRI13t0PkK5A7hGx3CsVZaiF1wCZOIEXNPPaPn7DCvtuCHXwtRpmqzUpdA4FidD-9ZeLgZeW3qLhbx0f8vxh6-H0ymWMKXUZHmFgyjOqrdE9mWb-wmSmUcrPJKXTZgbiEjfoMrhub8T-OSthBR-jvOwK_faN94jSIobQRrUeOcgapsZHcw4slz2YdvrUqBETGiYVEVS-HFKaz6FvL9DcXtTnVmxZGmMcDVTWv_CrX4maGdMhZ9fOY6vPqbdbUi7ZNYceOsfJ-ebrHqSN7Iwl7EMDtggtDazaXkV3aAPGmOHyVjGiVstYE1_NKk9byAdORZXuMEvG_pSjt4Te9dX2Nquid_5KtJghQuJD8rJ019P82p2jVW6QqVqcFYvf56Mv3qkbMRSH0KwV8Qo_bTmdih8Ft8aok1QjHbOIE8D_JxBsTc_pQeH9IvQi3eo_BqjX-0CykxLbk5B2XLTQRUNM_Gk8b5QiHU8j2R3Xxg3ECpQpZuMKgvT_Q_Y&p=12&fvj=0&vjs=3
Senior Tax Analyst,3D Systems,"Rock Hill, SC",26 days ago,2020-09-03,"Assist the Tax Manager with various tax planning and other tax initiatives as needed. As a Senior Tax Analyst, you will assist the tax team in all functional…",,https://www.indeed.com/rc/clk?jk=f16afefcd18ac4ab&fccid=a169ca96640cc40c&vjs=3
staff/senior auditor,"L&L CPAS, PA","Cornelius, NC",30+ days ago,2020-09-03,"Responsible for managing audit engagement, which will include preparation of audit strategy and planning, setting budgets, scheduling audits, performing all…",,https://www.indeed.com/rc/clk?jk=f33f6924ca63a0ee&fccid=edbaf7cb99726dee&vjs=3
Senior Associate - Sales and Use Tax,RSM US LLP,"Charlotte, NC",30+ days ago,2020-09-03,"Provide excellent client service to multi-state companies with state and local tax issues including compliance, advisory services, planning, technology, and…",,https://www.indeed.com/rc/clk?jk=03248f9ca58dbd81&fccid=198b7374e1f8a26f&vjs=3
